pair_id,userId,job_id,user_idx,role_match,hard_skill,industry_match,star_overlap,competency,arb_E,gold_E,learn_E,llm_label,v2_score
P0235__309333,P0235,309333,7,1.0,0.0,0.0,0.2,1.0,0.44,0.44,2.1131901937958135,0,1.085890293121338
P0235__308634,P0235,308634,7,1.0,0.0,0.0,0.133,0.0,0.2266666666666666,0.2266666666666666,1.6035012141513096,1,-0.975810706615448
P0235__307838,P0235,307838,7,0.0,0.0,1.0,0.113,1.0,0.4226415094339623,0.4226415094339623,2.1235490406410413,2,1.0844504833221436
P0235__307286,P0235,307286,7,0.0,0.0,1.0,0.265,1.0,0.4530973451327434,0.4530973451327434,2.1235490406410413,4,1.2721655368804932
P0235__308932,P0235,308932,7,0.0,0.0,0.0,0.214,0.75,0.1928571428571429,0.1928571428571429,0.3822667347333777,0,-2.7084133625030518
P0235__310276,P0235,310276,7,0.0,0.0,0.0,0.28,1.0,0.256,0.256,0.5096889796445037,0,-2.124540090560913
P0235__307265,P0235,307265,7,0.0,0.0,0.0,0.198,1.0,0.2396226415094339,0.2396226415094339,0.5096889796445037,1,-2.3468079566955566
P0235__310569,P0235,310569,7,0.0,0.0,0.0,0.254,1.0,0.2508474576271187,0.2508474576271187,0.5096889796445037,0,-2.1553032398223877
P0235__306057,P0235,306057,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.372304677963257
P0452__309579,P0452,309579,8,1.0,0.0,0.0,0.265,1.0,0.4529411764705882,0.4529411764705882,2.1131901937958135,1,1.3474853038787842
P0452__309589,P0452,309589,8,1.0,0.0,0.0,0.237,1.0,0.4473684210526316,0.4473684210526316,2.1131901937958135,1,1.4997268915176392
P0452__309749,P0452,309749,8,1.0,0.25,1.0,0.465,1.0,0.7429577464788732,0.7429577464788732,4.062696115630701,4,5.031939506530762
P0452__311058,P0452,311058,8,0.0,0.0,1.0,0.429,0.75,0.4357142857142857,0.4357142857142857,1.9961267957299156,0,1.3971998691558838
P0452__309492,P0452,309492,8,0.0,0.0,1.0,0.466,1.0,0.4931034482758621,0.4931034482758621,2.1235490406410413,1,1.7625606060028076
P0452__306309,P0452,306309,8,0.0,0.0,0.0,0.103,1.0,0.2206896551724138,0.2206896551724138,0.5096889796445037,0,-2.536722183227539
P0452__309870,P0452,309870,8,0.0,0.0,0.0,0.214,0.667,0.1761904761904761,0.1761904761904761,0.3397926530963358,0,-2.7368016242980957
P0452__312040,P0452,312040,8,0.0,0.0,0.0,0.233,1.0,0.2466666666666666,0.2466666666666666,0.5096889796445037,0,-2.304166793823242
P0452__303307,P0452,303307,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.3506946563720703
P0452__305576,P0452,305576,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.2829506397247314
P0756__306282,P0756,306282,9,1.0,0.133,0.0,0.213,0.8,0.4292198581560284,0.4292198581560284,2.190263523647366,2,1.4038361310958862
P0756__311570,P0756,311570,9,1.0,0.0,0.0,0.527,1.0,0.5054945054945055,0.5054945054945055,2.1131901937958135,3,2.348738193511963
P0756__312212,P0756,312212,9,1.0,0.0,0.0,0.351,0.667,0.4034632034632034,0.4034632034632034,1.9432938672476456,3,1.1493871212005615
P0756__311029,P0756,311029,9,0.0,0.0,1.0,0.115,0.0,0.2230769230769231,0.2230769230769231,1.613860060996538,1,-0.8058304190635681
P0756__306414,P0756,306414,9,0.0,0.0,1.0,0.574,1.0,0.5147058823529411,0.5147058823529411,2.1235490406410413,0,2.149777889251709
P0756__307808,P0756,307808,9,0.0,0.0,0.0,0.38,1.0,0.276056338028169,0.276056338028169,0.5096889796445037,0,-1.8297039270401
P0756__311679,P0756,311679,9,0.0,0.0,0.0,0.273,1.0,0.2545454545454546,0.2545454545454546,0.5096889796445037,0,-2.019683837890625
P0756__307770,P0756,307770,9,0.0,0.25,0.0,0.494,0.667,0.2820675105485232,0.2820675105485232,0.6754385139346859,0,-1.3966057300567627
P0756__306455,P0756,306455,9,0.0,0.0,0.0,0.234,0.0,0.046875,0.046875,0.0,0,-3.2244372367858887
P0756__302277,P0756,302277,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-3.321305274963379
P0168__308951,P0168,308951,10,1.0,0.261,0.0,0.466,0.75,0.4952773613193403,0.4952773613193403,2.336007108020357,3,2.272123336791992
P0168__312218,P0168,312218,10,1.0,0.091,1.0,0.153,1.0,0.6486902927580894,0.6486902927580894,3.8491032950972057,3,4.297369956970215
P0168__310310,P0168,310310,10,1.0,0.143,0.0,0.345,0.667,0.4308702791461412,0.4308702791461412,2.135091502012417,2,1.4041739702224731
P0168__308111,P0168,308111,10,0.0,0.0,1.0,0.308,0.0,0.2615384615384615,0.2615384615384615,1.613860060996538,2,-0.6058641672134399
P0168__310998,P0168,310998,10,0.0,0.5,1.0,0.343,1.0,0.5685714285714286,0.5685714285714286,2.794840762317742,2,3.057347536087036
P0168__306301,P0168,306301,10,0.0,0.071,0.0,0.174,1.0,0.2490683229813664,0.2490683229813664,0.6055877970268895,0,-2.247363328933716
P0168__308145,P0168,308145,10,0.0,0.0,0.0,0.262,1.0,0.2524271844660194,0.2524271844660194,0.5096889796445037,0,-2.096921443939209
P0168__309227,P0168,309227,10,0.0,0.0,0.0,0.18,0.0,0.036,0.036,0.0,0,-3.4503207206726074
P0168__302002,P0168,302002,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-3.4871532917022705
P0168__308634,P0168,308634,10,0.0,0.0,0.0,0.2,0.0,0.04,0.04,0.0,0,-3.392042636871338
P0445__310804,P0445,310804,11,1.0,0.077,1.0,0.398,1.0,0.6949764521193094,0.6949764521193094,3.8303259042810742,4,4.617231369018555
P0445__311739,P0445,311739,11,1.0,0.167,0.0,0.304,1.0,0.4942028985507247,0.4942028985507247,2.33695410102138,2,2.1234941482543945
P0445__307135,P0445,307135,11,1.0,0.231,0.0,0.279,1.0,0.5019677996422183,0.5019677996422183,2.423017142261983,2,2.2091732025146484
P0445__307398,P0445,307398,11,0.0,0.0,1.0,0.054,1.0,0.4107142857142857,0.4107142857142857,2.1235490406410413,1,0.9185228943824768
P0445__309524,P0445,309524,11,0.0,0.091,1.0,0.46,1.0,0.510117302052786,0.510117302052786,2.245602080945896,2,2.0885674953460693
P0445__308764,P0445,308764,11,0.0,0.0,0.0,0.119,1.0,0.2237623762376237,0.2237623762376237,0.5096889796445037,0,-2.4091684818267822
P0445__309070,P0445,309070,11,0.0,0.0,0.0,0.386,1.0,0.2771428571428571,0.2771428571428571,0.5096889796445037,0,-1.8941192626953125
P0445__304655,P0445,304655,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.5535120964050293
P0445__303398,P0445,303398,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.5141749382019043
P0445__304086,P0445,304086,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-3.50978422164917
